cluster_id,source_continent,cluster_root_date,cluster_root_absolute_time,cluster_size,first_tip_date,last_tip_date,tip_names,tip_dates
cluster_027,Europe,2010-03-18,2010.208617,122,2010-04-14,2012-04-15,PP_0038KSB.1/2010-04-15/North_America/456/D4;PP_00397VF.1/2011-01-15/North_America/455/D4;PP_0039H0W.1/2011-01-15/North_America/450/D4;PP_0039H7G.1/2011-01-15/North_America/450/D4;PP_003NFNU.1/2011-02-05/North_America/15900/D4;PP_003NFUG.1/2011-02-10/North_America/15900/D4;PP_00398Y8.1/2011-02-15/North_America/455/D4;PP_0039912.1/2011-02-15/North_America/456/D4;PP_0039920.1/2011-02-15/North_America/453/D4;PP_003993Y.1/2011-02-15/North_America/456/D4;PP_0039BG4.1/2011-02-15/North_America/455/D4;PP_003NFTJ.1/2011-02-18/North_America/15900/D4;PP_003NFLY.1/2011-02-21/North_America/15900/D4;PP_0039BKX.1/2011-03-15/North_America/455/D4;PP_0039GSC.1/2011-03-15/North_America/450/D4;PP_003AFT9.1/2011-03-15/North_America/456/D4;PP_003NFJ2.1/2011-03-16/North_America/15900/D4;PP_003NFH4.1/2011-04-01/North_America/15900/D4;PP_0039CNQ.1/2011-04-15/North_America/453/D4;PP_0039CPN.1/2011-04-15/North_America/456/D4;PP_0039CQL.1/2011-04-15/North_America/456/D4;PP_0039CRJ.1/2011-04-15/North_America/455/D4;PP_0039CTE.1/2011-04-15/North_America/456/D4;PP_0039CUC.1/2011-04-15/North_America/456/D4;PP_0039GRE.1/2011-04-15/North_America/450/D4;PP_0039GY0.1/2011-04-15/North_America/450/D4;PP_0039LA7.1/2011-04-15/North_America/456/D4;PP_0039LC3.1/2011-04-15/North_America/455/D4;PP_0039LW0.1/2011-04-15/North_America/456/D4;PP_003NFCF.1/2011-04-24/North_America/15900/D4;PP_003NFBH.1/2011-05-01/North_America/15900/D4;PP_003NFAK.1/2011-05-02/North_America/15900/D4;PP_003NF3Z.1/2011-05-04/North_America/15900/D4;PP_003NF6T.1/2011-05-05/North_America/15900/D4;PP_003NF5V.1/2011-05-07/North_America/15900/D4;PP_0039LHS.1/2011-05-15/North_America/456/D4;PP_0039LJQ.1/2011-05-15/North_America/456/D4;PP_0039LQC.1/2011-05-15/North_America/455/D4;PP_0039LRA.1/2011-05-15/North_America/456/D4;PP_0039LT6.1/2011-05-15/North_America/450/D4;PP_0039LYW.1/2011-05-15/North_America/456/D4;PP_0039LZU.1/2011-05-15/North_America/456/D4;PP_0039M3L.1/2011-05-15/North_America/456/D4;PP_0039M5G.1/2011-05-15/North_America/456/D4;PP_0039M6E.1/2011-05-15/North_America/456/D4;PP_0039M7C.1/2011-05-15/North_America/455/D4;PP_0039MB4.1/2011-05-15/North_America/455/D4;PP_0039MC2.1/2011-05-15/North_America/453/D4;PP_0039MS7.1/2011-05-15/North_America/456/D4;PP_0039MT5.1/2011-05-15/North_America/456/D4;PP_0039MV1.1/2011-05-15/North_America/456/D4;PP_0039TFQ.1/2011-05-15/North_America/450/D4;PP_0039TGN.1/2011-05-15/North_America/450/D4;PP_0039THK.1/2011-05-15/North_America/450/D4;PP_0039TMB.1/2011-05-15/North_America/450/D4;PP_0039TP7.1/2011-05-15/North_America/450/D4;PP_0039TUX.1/2011-05-15/North_America/450/D4;PP_0039WZJ.1/2011-05-15/North_America/456/D4;PP_0039RT1.1/2011-05-17/North_America/456/D4;PP_0039RZP.1/2011-05-17/North_America/456/D4;PP_0039S5B.1/2011-05-19/North_America/456/D4;PP_003NESM.1/2011-05-23/North_America/15900/D4;PP_003NEEC.1/2011-05-24/North_America/15900/D4;PP_003NEMX.1/2011-05-24/North_America/15900/D4;PP_003NEPT.1/2011-05-24/North_America/15900/D4;PP_003NEK1.1/2011-05-27/North_America/15900/D4;PP_003NECG.1/2011-05-29/North_America/15900/D4;PP_003NEG8.1/2011-05-29/North_America/15900/D4;PP_003NEJ3.1/2011-05-29/North_America/15900/D4;PP_003NEH5.1/2011-05-30/North_America/15900/D4;PP_003NEAL.1/2011-06-01/North_America/15900/D4;PP_003NE30.1/2011-06-07/North_America/15900/D4;PP_003NEBJ.1/2011-06-07/North_America/15900/D4;PP_003NE7S.1/2011-06-10/North_America/15900/D4;PP_003NDRQ.1/2011-06-14/North_America/15900/D4;PP_0039MYV.1/2011-06-15/North_America/456/D4;PP_0039N0R.1/2011-06-15/North_America/455/D4;PP_0039N2M.1/2011-06-15/North_America/455/D4;PP_0039N4H.1/2011-06-15/North_America/456/D4;PP_0039TYP.1/2011-06-15/North_America/450/D4;PP_0039U2F.1/2011-06-15/North_America/450/D4;PP_0039U3D.1/2011-06-15/North_America/450/D4;PP_0039W3B.1/2011-06-15/North_America/456/D4;PP_0039WBV.1/2011-06-15/North_America/456/D4;PP_0039WGK.1/2011-06-15/North_America/456/D4;PP_0039WHG.1/2011-06-15/North_America/456/D4;PP_0039WLA.1/2011-06-15/North_America/456/D4;PP_0039WXN.1/2011-06-15/North_America/456/D4;PP_0039WYL.1/2011-06-15/North_America/456/D4;PP_0039X1E.1/2011-06-15/North_America/456/D4;PP_0039X3A.1/2011-06-15/North_America/456/D4;PP_0039X64.1/2011-06-15/North_America/456/D4;PP_0039X72.1/2011-06-15/North_America/456/D4;PP_0039XAW.1/2011-06-15/North_America/456/D4;PP_0039XBU.1/2011-06-15/North_America/456/D4;PP_0039XFL.1/2011-06-15/North_America/456/D4;PP_0039XGJ.1/2011-06-15/North_America/456/D4;PP_0039XJD.1/2011-06-15/North_America/456/D4;PP_0039XKB.1/2011-06-15/North_America/456/D4;PP_0039XM7.1/2011-06-15/North_America/456/D4;PP_0039XN5.1/2011-06-15/North_America/456/D4;PP_0039ZVP.1/2011-06-15/North_America/456/D4;PP_003NE06.1/2011-06-16/North_America/15900/D4;PP_003NE14.1/2011-06-17/North_America/15900/D4;PP_003NDZ8.1/2011-06-18/North_America/15900/D4;PP_003NDXC.1/2011-06-20/North_America/15900/D4;PP_003NDWE.1/2011-06-21/North_America/15900/D4;PP_003NDL0.1/2011-06-23/North_America/15900/D4;PP_003NDMY.1/2011-06-26/North_America/15900/D4;PP_003NDJ4.1/2011-06-27/North_America/15900/D4;PP_003NDCH.1/2011-07-10/North_America/15900/D4;PP_0039U75.1/2011-07-15/North_America/450/D4;PP_0039WUU.1/2011-07-15/North_America/456/D4;PP_003ADNM.1/2011-07-15/North_America/450/D4;PP_003NDBK.1/2011-07-20/North_America/15900/D4;PP_003NDAM.1/2011-07-27/North_America/15900/D4;PP_003ADMP.1/2011-08-15/North_America/450/D4;PP_003ND6V.1/2011-09-24/North_America/15900/D4;PP_003AMJM.1/2011-10-15/North_America/450/D4;PP_003ANT2.1/2012-04-15/North_America/457/D4;PP_003ANU0.1/2012-04-15/North_America/456/D4;PP_003ANYS.1/2012-04-15/North_America/456/D4,2010-04-15;2011-01-15;2011-01-15;2011-01-15;2011-02-05;2011-02-10;2011-02-15;2011-02-15;2011-02-15;2011-02-15;2011-02-15;2011-02-18;2011-02-21;2011-03-15;2011-03-15;2011-03-15;2011-03-16;2011-04-01;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-15;2011-04-24;2011-05-01;2011-05-02;2011-05-04;2011-05-05;2011-05-07;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-15;2011-05-17;2011-05-17;2011-05-19;2011-05-23;2011-05-24;2011-05-24;2011-05-24;2011-05-27;2011-05-29;2011-05-29;2011-05-29;2011-05-30;2011-06-01;2011-06-07;2011-06-07;2011-06-10;2011-06-14;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-15;2011-06-16;2011-06-17;2011-06-18;2011-06-20;2011-06-21;2011-06-23;2011-06-26;2011-06-27;2011-07-10;2011-07-15;2011-07-15;2011-07-15;2011-07-20;2011-07-27;2011-08-15;2011-09-24;2011-10-15;2012-04-15;2012-04-15;2012-04-15
cluster_028,Asia,2010-03-19,2010.210959,1,2010-03-19,2010-03-19,PP_0038GPL.1/2010-03-19/North_America/456/H1,2010-03-19
cluster_029,Asia,2010-04-20,2010.30053,1,2011-09-15,2011-09-15,PP_003AKZT.1/2011-09-15/North_America/456/D9,2011-09-15
cluster_030,Asia,2010-05-02,2010.334247,1,2010-05-02,2010-05-02,PP_003B2CH.1/2010-05-03/North_America/456/H1,2010-05-03
cluster_031,Africa,2010-05-06,2010.344695,3,2010-08-15,2012-02-14,PP_00390QY.1/2010-08-15/North_America/456/B3;PP_003AN4F.1/2012-01-15/North_America/456/B3;PP_003AN87.1/2012-02-15/North_America/456/B3,2010-08-15;2012-01-15;2012-02-15
cluster_032,Asia,2010-05-14,2010.367123,1,2010-05-14,2010-05-14,PP_0038WER.1/2010-05-15/North_America/450/D9,2010-05-15
cluster_033,Africa,2010-06-15,2010.452055,1,2010-06-15,2010-06-15,PP_0038LSA.1/2010-06-15/North_America/456/B3,2010-06-15
cluster_034,Europe,2010-06-15,2010.45427,1,2010-11-15,2010-11-15,PP_0039H6J.1/2010-11-15/North_America/450/B3,2010-11-15
cluster_035,Africa,2010-07-09,2010.520101,1,2010-08-15,2010-08-15,PP_0038VZM.1/2010-08-15/North_America/456/B3,2010-08-15
cluster_036,Africa,2010-07-27,2010.567603,6,2011-03-15,2012-11-14,PP_0039GF1.1/2011-03-15/North_America/450/B3;PP_0039GLQ.1/2011-03-15/North_America/450/B3;PP_0039GZY.1/2011-03-15/North_America/450/B3;PP_003ANR6.1/2011-03-15/North_America/457/B3;PP_0039U4B.1/2011-06-15/North_America/450/B3;PP_003AZAS.1/2012-11-15/North_America/450/B3,2011-03-15;2011-03-15;2011-03-15;2011-03-15;2011-06-15;2012-11-15
